Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum
Wang Y.; Lv G.; He J.; Cheng F.; Li D.,"Wang, Yuansen (59135796700); Lv, Guibin (59136753500); He, Jialin (59135796800); Cheng, Feng (59136073100); Li, Dongke (59136210700)",59135796700; 59136753500; 59135796800; 59136073100; 59136210700,RETRACTION:Dynamic evaluation of road and bridge engineering construction safety risk based on Fuzzy Dynamic Bayesian Network research,2024,Journal of Intelligent and Fuzzy Systems,46,4,236301,7555.0,7566.0,2,10.3233/JIFS-236301,https://www.scopus.com/pages/publications/85193686813?origin=resultslist,"Central China Regional Headquarters of Powerchina Road-Bridge Group Co., Ltd., Zhengzhou, China; Southeast Reginal Headquarters of Powerchina Road-Bridge Group Co., Ltd., Hangzhou, China; Western Reginal Headquarters of Powerchina Road-Bridge Group Co., Ltd., Chengdu, China; School of Water Conservancy, North China University of Water Resources and Electric Power, Zhengzhou, China","Wang Y., Central China Regional Headquarters of Powerchina Road-Bridge Group Co., Ltd., Zhengzhou, China; Lv G., Southeast Reginal Headquarters of Powerchina Road-Bridge Group Co., Ltd., Hangzhou, China; He J., Western Reginal Headquarters of Powerchina Road-Bridge Group Co., Ltd., Chengdu, China; Cheng F., Central China Regional Headquarters of Powerchina Road-Bridge Group Co., Ltd., Zhengzhou, China; Li D., School of Water Conservancy, North China University of Water Resources and Electric Power, Zhengzhou, China","To comprehensively and objectively evaluate the actual safety condition in road and bridge engineering construction, the road and bridge engineering construction safety risk evaluation index system is constructed combined with the factors induced by emergencies in the road and bridge engineering construction process. Aiming at the dynamic uncertainty of road and bridge construction safety risk, using Fuzzy Set Theory and an improved similar aggregation method to determine the prior probabilities and conditional probabilities of network nodes, and then selecting the transition probabilities of nodes through expert opinions and incident reports, leading to the development of a dynamic evaluation model for safety risks in road and bridge engineering construction based on Fuzzy Dynamic Bayesian Network, this model can make the construction safety risk prediction result accurately. Taking the Hebi City Provincial Highway 304 reconstruction project as an example for analysis, the results indicate that the model can accurately predict the probability of changes in safety risks in road and bridge engineering construction. Additionally, it can identify critical risk factors and provide crucial supporting information for decision-makers to optimize risk management strategies. © 2024 – IOS Press. All rights reserved.",Dynamic Bayesian Network; risk analysis; Road and bridge engineering; similar aggregation method,Bayesian networks; Bridges; Decision making; Highway administration; Risk analysis; Risk assessment; Risk management; Roads and streets; Safety engineering; Aggregation methods; Bridge engineering; Construction safety; Dynamic Bayesian networks; Dynamic evaluation; Engineering constructions; Road engineering; Roads and bridges; Safety risks; Similar aggregation method; Fuzzy set theory,"D. Li; School of Water Conservancy, North China University of Water Resources and Electric Power, Zhengzhou, 450046, China; email: lidongke0617@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85193686813,10.3233/jifs-236301,S1_JIFS
Li K.; Zhang Q.; Xie Q.; Huang S.,"Li, Keyuan (58627351000); Zhang, Qinghua (57203621200); Xie, Qin (56784975700); Huang, Shuaishuai (58937179700)",58627351000; 57203621200; 56784975700; 58937179700,RETRACTION:A multi-granularity ensemble algorithm for medical image classification based on broad learning system,2024,Journal of Intelligent and Fuzzy Systems,46,3,,5853.0,5867.0,1,10.3233/JIFS-235725,https://www.scopus.com/pages/publications/85187621247?origin=resultslist,"School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China; Chongqing Key Lab. of Tourism Multisource Data Percept. and Decision Ministry of Culture and Tourism, Chongqing University of Posts and Telecommunications, Chongqing, China","Li K., School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Lab. of Tourism Multisource Data Percept. and Decision Ministry of Culture and Tourism, Chongqing University of Posts and Telecommunications, Chongqing, China; Zhang Q., Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Lab. of Tourism Multisource Data Percept. and Decision Ministry of Culture and Tourism, Chongqing University of Posts and Telecommunications, Chongqing, China; Xie Q., School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Lab. of Tourism Multisource Data Percept. and Decision Ministry of Culture and Tourism, Chongqing University of Posts and Telecommunications, Chongqing, China; Huang S., School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Laboratory of Computational Intelligence, Chongqing University of Posts and Telecommunications, Chongqing, China, Chongqing Key Lab. of Tourism Multisource Data Percept. and Decision Ministry of Culture and Tourism, Chongqing University of Posts and Telecommunications, Chongqing, China","Medical image classification is an essential task in the fields of computer-aided diagnosis and medical image analysis. In recent years, researchers have made extensive work on medical image classification by computer vision techniques. However, most of the current work is based on deep learning methods, which still suffer from expensive hardware resources, long time consuming and a lot of parameters to be optimized. In this paper, a multi-granularity ensemble algorithm for medical image classification based on broad learning system is proposed, which is an end-to-end lightweight model. On the one hand, the proposed method is designed to address the problem of weak image feature learning ability of broad learning system. The convolution module with fixed weights based on transfer learning is introduced as a feature extractor to extract fusion features of medical images. On the other hand, the multi-granularity ensemble framework is proposed, which learn the fusion features of medical images from fine-grained to coarse-grained respectively, and the prediction results at different granularity levels are integrated by ensemble learning. In this way, the bottom local features can be sufficiently considered, while the global features can also be taken into account. The experimental results show that on the MedMNIST dataset (containing 10 sub-datasets), the proposed method can shorten the training time by tens of times while having similar accuracy to deep convolutional neural networks. On the ChestXRay2017 dataset, the proposed method can achieve an accuracy of 92.5%, and the training time is also significantly better than other methods.  © 2024 - IOS Press. All rights reserved.",Broad learning system(BLS); ensemble learning; medical image classification; multi-granularity,Computer aided analysis; Computer aided diagnosis; Computer aided instruction; Convolution; Convolutional neural networks; Deep neural networks; Image classification; Image fusion; Learning algorithms; Medical imaging; 'current; Broad learning system; Computer vision techniques; Ensemble algorithms; Ensemble learning; Fusion features; Medical image analysis; Medical image classification; Multi-granularity; Training time; Learning systems,"Q. Zhang; Chongqing Key Laboratory of Big Data Intelligent Computing, Chongqing University of Posts and Telecommunications, Chongqing, China; email: zhangqh@cqupt.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85187621247,10.3233/jifs-235725,S1_JIFS
Niu G.; Hu D.; Zhao Y.; Eladdad M.E.,"Niu, Guocheng (58821863600); Hu, Dongmei (55987566500); Zhao, Yang (56472249000); Eladdad, M.E. (58761006600)",58821863600; 55987566500; 56472249000; 58761006600,RETRACTION:Evaluation and prediction of the transformer health index based on matter element information entropy and SVM,2023,Journal of Intelligent and Fuzzy Systems,45,6,,9815.0,9825.0,3,10.3233/JIFS-182785,https://www.scopus.com/pages/publications/85179621174?origin=resultslist,"College of Electrical and Information Engineering, Beihua University, Jilin, China; College of Mechanical and Electrical Engineering, Guangdong University of Science and Technology, Dongguan, Guangdong, China; Department of Mathematics, Faculty of Science, Tanta University, Tanta, Egypt","Niu G., College of Electrical and Information Engineering, Beihua University, Jilin, China; Hu D., College of Electrical and Information Engineering, Beihua University, Jilin, China; Zhao Y., College of Mechanical and Electrical Engineering, Guangdong University of Science and Technology, Dongguan, Guangdong, China; Eladdad M.E., Department of Mathematics, Faculty of Science, Tanta University, Tanta, Egypt","To solve the problem that the operation state of transformer is difficult to quantify, a method of quantitative evaluation and prediction of transformer operating state is proposed, which combines the information entropy of matter element and Support Vector Machine. In the evaluation, various hydrogen gases in the transformer operation are taken as the evaluation indexes and the three-dimensional cross compound element is constructed. The analytic hierarchy process (AHP) is used to determine the theoretical weight of the evaluation index, and the entropy method is used to determine the objective weight of the evaluation index, and the final weight is the joint weight of the theoretical weight and the objective weight. Transformer Health index is calculated by using complex element correlation entropy. In prediction, the grid search, genetic algorithm (GA) and particle swarm optimization (PSO) are used to optimize the parameters of Support Vector Machine. and the prediction model of Health index is established by SVM. Experiment results show that the Support Vector Machine based on Gauss kernel function and genetic algorithm has a prominent effect on the prediction of health index. © 2023 – IOS Press. All rights reserved.",analytic hierarchy process (AHP); health index; matter element information entropy; support vector machine (SVM); Transformer,Analytic hierarchy process; Forecasting; Genetic algorithms; Hierarchical systems; Particle swarm optimization (PSO); Vectors; Analytic hierarchy process; Evaluation and predictions; Evaluation index; Health indices; Information entropy; Matter element information entropy; Matter-element; Support vector machine; Support vectors machine; Transformer; Support vector machines,"D. Hu; College of Electrical and Information Engineering, Beihua University, Jilin, 132021, China; email: haitianme@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179621174,10.3233/jifs-182785,S1_JIFS
Jin L.; Chen Z.-S.; Yager R.R.; Langari R.,"Jin, LeSheng (56148785000); Chen, Zhen-Song (56147283200); Yager, Ronald R. (57208765386); Langari, Reza (7006275578)",56148785000; 56147283200; 57208765386; 7006275578,RETRACTION:Cognitive uncertain information with some properties and characteristics,2023,Journal of Intelligent and Fuzzy Systems,44,6,,9411.0,9418.0,5,10.3233/JIFS-223119,https://www.scopus.com/pages/publications/85166387939?origin=resultslist,"Business School, Nanjing Normal University, Nanjing, China; Department of Engineering Management, School of Civil Engineering, Wuhan University, Wuhan, China; Machine Intelligence Institute, Iona College, New Rochelle, NY, United States; Department of Mechanical Engineering, Texas Am University, College Station, United States","Jin L., Business School, Nanjing Normal University, Nanjing, China; Chen Z.-S., Department of Engineering Management, School of Civil Engineering, Wuhan University, Wuhan, China; Yager R.R., Machine Intelligence Institute, Iona College, New Rochelle, NY, United States; Langari R., Department of Mechanical Engineering, Texas Am University, College Station, United States","This letter reports a new type of uncertain information that is different from some well known existing uncertain information, such as probability information, fuzzy information, interval information and basic uncertain information. This type of uncertain information allows some specified compromise in interacting decision environments and gives some acceptance area when facing with uncertainties. We firstly introduce the cognitive interval information and then naturally propose the cognitive uncertain information as an extension. The featured acceptance area provides more flexibility in uncertain information handling and it can be regarded as some specified uncertain range (versus the certainty degree in basic uncertain information). The new proposals have advantages in some uncertain decision making scenarios where intersubjectivity and interaction of decision makers play important roles. Besides, some basic structural properties are briefly discussed. Moreover, some motivational examples are presented to show its usage in group decision making to help automatically obtain consistency or consensus in aggregating the different individual evaluations. © 2023 - IOS Press. All rights reserved.",Cognitive interval information; cognitive uncertain information; decision making; group decision making; information fusion; uncertain information,Artificial intelligence; Information fusion; Cognitive interval information; Cognitive uncertain information; Decision environment; Decisions makings; Fuzzy information; Group Decision Making; Probability informations; Property; Uncertain informations; Decision making,"L. Jin; Business School, Nanjing Normal University, Nanjing, China; email: zschen@whu.edu.cn; Z.-S. Chen; Department of Engineering Management, School of Civil Engineering, Wuhan University, Wuhan, 430072, China; email: zschen@whu.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85166387939,10.3233/jifs-223119,S1_JIFS
Jansi Rani J.; Manivannan A.,"Jansi Rani, J. (60012934600); Manivannan, A. (60042455700)",60012934600; 60042455700,RETRACTED: An optimization of the fully fuzzy transportation problem with triangular type-2 fuzzy parameters using novel ranking technique,2025,Journal of Intelligent and Fuzzy Systems,48,1_suppl,,381.0,395.0,0,10.3233/JIFS-237652,https://www.scopus.com/pages/publications/105008198581?origin=resultslist,"Department of Mathematics, School of Advanced Sciences, Vellore Institute of Technology, Tamil Nadu, Chennai, India","Jansi Rani J., Department of Mathematics, School of Advanced Sciences, Vellore Institute of Technology, Tamil Nadu, Chennai, India; Manivannan A., Department of Mathematics, School of Advanced Sciences, Vellore Institute of Technology, Tamil Nadu, Chennai, India",This article has been retracted. A retraction notice can be found at https://doi.org/10.3233/JIFS-219434. © 2025 – IOS Press. All rights reserved.,,Fuzzy parameter; Fuzzy transportation problem; Optimisations; Ranking technique; Type-2 fuzzy; Optimization,"A. Manivannan; Department of Mathematics, School of Advanced Sciences, Vellore Institute of Technology, Chennai, Tamil Nadu, India; email: manivannan.a@vit.ac.in",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105008198581,10.3233/jifs-237652,S1_JIFS
Men R.; Fan X.; Yan J.; Shan A.; Fan S.,"Men, Rui (58128403300); Fan, Xiumei (25627484600); Yan, Jun (55467674100); Shan, Axida (57219267289); Fan, Shujia (57221635838)",58128403300; 25627484600; 55467674100; 57219267289; 57221635838,RETRACTION:A communication link lifetime prediction-supported V2V partial computation offloading scheme for autonomous driving,2024,Journal of Intelligent and Fuzzy Systems,46,3,,6355.0,6368.0,0,10.3233/JIFS-235954,https://www.scopus.com/pages/publications/85187621376?origin=resultslist,"Department of Automation and Information Engineering, Xi'an University of Technology, Xi'an, China; Department of Mathematics and Information Engineering, Longdong University, Qingyang, China; School of Computing and Information Technology, University of Wollongong, Wollongong, Australia; Baotou Teachers' College, Baotou, China","Men R., Department of Automation and Information Engineering, Xi'an University of Technology, Xi'an, China, Department of Mathematics and Information Engineering, Longdong University, Qingyang, China; Fan X., Department of Automation and Information Engineering, Xi'an University of Technology, Xi'an, China; Yan J., School of Computing and Information Technology, University of Wollongong, Wollongong, Australia; Shan A., Baotou Teachers' College, Baotou, China; Fan S., School of Computing and Information Technology, University of Wollongong, Wollongong, Australia","Vehicle Edge Computing (VEC) is a promising technique to improve the quality of service (QoS) and quality of experience (QoE) in autonomous driving by exploiting the resources at the network edge. However, the high mobility of the vehicles leads to stochastic communication link duration, and the tasks generated by various applications in autonomous driving incur fierce competition for resources. These challenges cause excessive task completion delays. In this paper, we propose a vehicle-to-vehicle (V2V) partial computation offloading scheme that leverages the prediction results of the communication link lifetime between vehicles. A History track, Current interactions and Future planning trajectory-aware Gated Recurrent Units (HCF-GRU) network is built to capture the essential factors to improve the prediction accuracy. Then, we design a GRU-based Proximal Policy Optimization (GRU-PPO) algorithm to obtain an optimal one-to-many offloading decision to minimize the task execution cost. The HCF-GRU prediction algorithm is evaluated on a real world vehicle trajectory dataset, and the performance of the GRU-PPO algorithm is analyzed on extensive numerical simulations. Experimental results demonstrate that our prediction network and offloading decision algorithm outperform the baseline methods in terms of prediction accuracy and task execution cost.  © 2024 - IOS Press. All rights reserved.",autonomous driving; Communication link lifetime prediction; machine learning; partial offloading decision,Computation offloading; Forecasting; Machine learning; Quality of service; Stochastic systems; Vehicle to vehicle communications; Autonomous driving; Communication link lifetime prediction; Computation offloading; Lifetime prediction; Link lifetimes; Machine-learning; Partial computation; Partial offloading decision; Policy optimization; Prediction accuracy; Autonomous vehicles,"X. Fan; Department of Automation and Information Engineering, Xi'an University of Technology, Xi'an, China; email: xmfan@xaut.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85187621376,10.3233/jifs-235954,S1_JIFS
Chunhong Z.; Jinglei N.; Shuwen Y.; Dingyu Z.; Chengmo L.,"Chunhong, Zhao (58816429300); Jinglei, Nie (58816402900); Shuwen, Yin (58816349000); Dingyu, Zhang (57203588355); Chengmo, Li (58816403000)",58816429300; 58816402900; 58816349000; 57203588355; 58816403000,RETRACTION:Application of virtual reality technology in second language classroom teaching in colleges and universities,2024,Journal of Intelligent and Fuzzy Systems,46,1,,711.0,722.0,1,10.3233/JIFS-233210,https://www.scopus.com/pages/publications/85182526191?origin=resultslist,"Xingtai University, Hebei Province, Xingtai, China; Xingtai Medical College, Hebei Province, Xingtai, China","Chunhong Z., Xingtai University, Hebei Province, Xingtai, China; Jinglei N., Xingtai University, Hebei Province, Xingtai, China; Shuwen Y., Xingtai Medical College, Hebei Province, Xingtai, China; Dingyu Z., Xingtai University, Hebei Province, Xingtai, China; Chengmo L., Xingtai University, Hebei Province, Xingtai, China","The design and implementation of teachers' classroom teaching strategies is the key to the success of second language classroom teaching. In order to improve the quality of second-language classroom teaching in universities and enhance the interactivity in the teaching process, the application of virtual reality technology in second-language classroom teaching in universities is studied. Firstly, an integrated ware platform is designed for second language classroom teaching in universities, which consists of an integrated ware library and a database. Then virtual reality technology is used to design an integrated ware library within the platform and collect information such as various teaching media resources designed in the classroom teaching content into the integrated ware library; Utilize 3DS Max software in virtual reality technology to construct three-dimensional models of teaching scenes and entities; Choose to use linear difference method to render 3D model colors; From a visual perspective, enhance the realism of the rendered model through image enhancement technology and color contrast enhancement technology. According to the functions of the physical object, various interactive events are added to the created teaching scene and the three-dimensional model of the entity and stored in the integrable ware library to achieve panoramic roaming of the second language classroom teaching scene in universities. The experimental results show that the teaching platform designed by this method can accurately construct three-dimensional models of teaching scenes and objects with good visual effects, providing users with a more realistic sensory experience and effectively improving students' mastery of teaching content. © 2024-IOS Press. All rights reserved.",3D model; classroom teaching; color rendering; panoramic walkthrough; Virtual reality technology,3D modeling; Color; Digital libraries; E-learning; Engineering education; Rendering (computer graphics); Teaching; Three dimensional computer graphics; Virtual reality; 3D models; 3d-modeling; Classroom teaching; Colour rendering; Panoramic walkthrough; Second language; Teaching contents; Three dimensional modelling; Virtual reality technology; Walkthroughs; Image enhancement,"Z. Dingyu; Xingtai University, Xingtai, Hebei Province, 054000, China; email: dingyuxt@126.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85182526191,10.3233/jifs-233210,S1_JIFS
Niu L.; Ye J.,"Niu, Lu (59009048300); Ye, Jun (60246067200)",59009048300; 60246067200,RETRACTION:Exponential similarity measure of confidence consistency fuzzy cubic sets in fuzzy multiset scenarios and its application in piano performance evaluation,2024,Journal of Intelligent and Fuzzy Systems,46,4,,7887.0,7896.0,0,10.3233/JIFS-235084,https://www.scopus.com/pages/publications/85191863095?origin=resultslist,"Yuanpei College, Shaoxing University, Shaoxing, China; School of Civil and Environmental Engineering, Ningbo University, Ningbo, China","Niu L., Yuanpei College, Shaoxing University, Shaoxing, China; Ye J., School of Civil and Environmental Engineering, Ningbo University, Ningbo, China","A consistency fuzzy set is composed of mean values and consistency degrees of fuzzy sequences in the transformation process of a fuzzy multiset (FM), but lacks confidence intervals in relation to a confidence level of fuzzy sequences, which shows its deficiency. To solve this deficiency, this paper aims to propose an improved transformation approach from FM to a confidence consistency fuzzy cubic set (CCFCS) and to develop an exponential similarity measure of CCFCSs for modeling piano performance evaluation (PPE) in a FM scenario. Consequently, this study includes the following context. First, a transformation approach from FM to CCFCS is proposed in terms of mean values, consistency degrees (the complement of standard deviation), and confidence intervals of fuzzy sequences subject to a confidence level and normal distribution. Second, the exponential similarity measure of CCFCSs is proposed in the scenario of FMs. Third, a PPE model is developed based on the proposed similarity measure of CCFCSs in the FM scenario. Finally, the developed model is applied to a piano performance competition organized by Shaoxing University in China as an actual evaluation example, and then the rationality and validity of the proposed model in the scenario of FMs are verified through sensitivity and comparison analysis. © 2024 - IOS Press. All rights reserved.",confidence consistency fuzzy cubic set; confidence level; exponential similarity measure; Fuzzy multiset; piano performance evaluation,Frequency modulation; Musical instruments; Confidence consistency fuzzy cubic set; Confidence levels; Consistency degree; Exponential similarity measure; Exponentials; Fuzzy multisets; Mean values; Performances evaluation; Piano performance evaluation; Similarity measure; Normal distribution,"J. Ye; School of Civil and Environmental Engineering, Ningbo University, Ningbo, 315211, China; email: yejun1@nbu.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85191863095,10.3233/jifs-235084,S1_JIFS
Wanjari M.; Mittal G.; Prasad R.,"Wanjari, Mayur (57220811297); Mittal, Gaurav (60253622800); Prasad, Roshan (58573618600)",57220811297; 60253622800; 58573618600,Artificial intelligence in the surgical management of arteriovenous malformations,2024,Neurosurgical Review,47,1,639,,,0,10.1007/s10143-024-02886-z,https://www.scopus.com/pages/publications/85204417667?origin=resultslist,"Department of Research and Development, Jawaharlal Nehru Medical College, Datta Meghe Institute of Higher Education & amp; Research, Wardha, India; Department of Medicine, Mahatma Gandhi Institute of Medical Sciences, Wardha, India","Wanjari M., Department of Research and Development, Jawaharlal Nehru Medical College, Datta Meghe Institute of Higher Education & amp; Research, Wardha, India; Mittal G., Department of Medicine, Mahatma Gandhi Institute of Medical Sciences, Wardha, India; Prasad R., Department of Research and Development, Jawaharlal Nehru Medical College, Datta Meghe Institute of Higher Education & amp; Research, Wardha, India",[No abstract available],,Artificial Intelligence; Humans; Intracranial Arteriovenous Malformations; Neurosurgical Procedures; algorithm; arteriovenous malformation; artificial intelligence; brain tissue; computational fluid dynamics; diagnostic accuracy; diagnostic test accuracy study; digital subtraction angiography; human; image analysis; Letter; machine learning; multimodal imaging; nuclear magnetic resonance imaging; treatment outcome; treatment planning; brain arteriovenous malformation; neurosurgery; procedures; surgery,"M. Wanjari; Department of Research and Development, Jawaharlal Nehru Medical College, Datta Meghe Institute of Higher Education & amp; Research, Wardha, India; email: wanjari605@gmail.com",,Springer Science and Business Media Deutschland GmbH,03445607,,NSRED,39294339.0,English,Neurosurg. Rev.,Retracted,Final,,Scopus,2-s2.0-85204417667,10.1007/s10143-024-02886-z,S3_Diverse
Cui Z.; Li X.; Guo J.; Lu Y.,"Cui, Zheng (58564700900); Li, Xiaoqi (58564316900); Guo, Jie (58564571300); Lu, Yunhang (57262012200)",58564700900; 58564316900; 58564571300; 57262012200,RETRACTION:Sports injury early warning of basketball players based on RBF neural network algorithm,2023,Journal of Intelligent and Fuzzy Systems,45,3,,4291.0,4300.0,3,10.3233/JIFS-224601,https://www.scopus.com/pages/publications/85169929907?origin=resultslist,"Physical Education Department, Xinxiang Institute of Engineering, Xinxiang, China; College of Chemistry and Chemical Engineering, Shenyang Normal University, Shenyang, China; Department of Physical Education, Tangshan Normal University, Tangshan, China; Department of Physical Education, Kyungpook National University, Daegu, South Korea","Cui Z., Physical Education Department, Xinxiang Institute of Engineering, Xinxiang, China; Li X., College of Chemistry and Chemical Engineering, Shenyang Normal University, Shenyang, China; Guo J., Department of Physical Education, Tangshan Normal University, Tangshan, China; Lu Y., Department of Physical Education, Kyungpook National University, Daegu, South Korea","Basketball has always been a relatively hot sport. However, the level of basketball in China does not maintain the synchronous development trend with competitive sports, which can be seen from the achievements of various international competitions. Many basketball players have retired due to sports injuries. How to avoid and delay the occurrence of injuries to the maximum extent, and make the best competitive state to get the longest time is an urgent problem to be solved in the current basketball training and competition process. Therefore, how to reduce sports damage in basketball sports has become a crucial problem. The artificial neural network algorithm is widely used in complex system hardware fault detection, medical diagnosis, medical image processing and other complex task, to classify and forecast, and achieved good results. But in the use of the sports injury risk prevention is very limited, in sports injury risk early warning research, predecessors to sports injury factors made a lot of research and the qualitative model was established, but no quantitative evaluation research, and artificial neural network algorithm has good performance in complex system classification and prediction, so the artificial neural network algorithm is applied to sports injury risk early warning study is a very meaningful work, can carry on the accurate to the athlete sports injury risk assessment. Using RBF neural network to achieve dimensional reduction preprocessing of high-dimensional data not only has sufficient theoretical basis, but also it is more superior. Based on the optimization study of RBF neural network algorithm, we study the data-based feature selection RBF neural network, and apply it in the high-dimensional multi-objective optimization decision space and pare to quality and disadvantages prediction. Through the evaluation of the test sample, the early warning model achieves ideal results, so it is feasible to apply to the sports injury risk warning.  © 2023 - IOS Press. All rights reserved.",athletes; Keywords. Basketball; RBF neural network algorithm; sports injury early warning,Clustering algorithms; Competition; Complex networks; Forecasting; Health risks; Medical imaging; Multiobjective optimization; Quality control; Radial basis function networks; Risk assessment; Sports; Artificial neural network algorithm; Athlete; Early warning; Injury risk; Keyword.; Neural networks algorithms; RBF Neural Network; RBF neural network algorithm; Sport injury early warning; Sports injuries; Diagnosis,"Y. Lu; Department of Physical Education, Kyungpook National University, Daegu, South Korea; email: yunhanglu2021@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85169929907,10.3233/jifs-224601,S1_JIFS
Wang J.; Cai Q.; Wang H.; Wei G.; Liao N.,"Wang, Jing (58462131000); Cai, Qiang (57947626300); Wang, Hongjun (55879644600); Wei, Guiwu (24832271100); Liao, Ningna (57226299348)",58462131000; 57947626300; 55879644600; 24832271100; 57226299348,RETRACTION:An integrated decision-making methodology for green supplier selection based on the improved IVIF-CPT-MABAC method,2023,Journal of Intelligent and Fuzzy Systems,44,5,,8535.0,8560.0,14,10.3233/JIFS-224206,https://www.scopus.com/pages/publications/85166648763?origin=resultslist,"School of Mathematical Sciences, Sichuan Normal University, Chengdu, China; School of Business, Sichuan Normal University, Chengdu, China; School of Economics and Management, Chongqing University of Arts and Sciences, Chongqing, China","Wang J., School of Mathematical Sciences, Sichuan Normal University, Chengdu, China; Cai Q., School of Business, Sichuan Normal University, Chengdu, China; Wang H., School of Economics and Management, Chongqing University of Arts and Sciences, Chongqing, China; Wei G., School of Business, Sichuan Normal University, Chengdu, China; Liao N., School of Business, Sichuan Normal University, Chengdu, China","Green supply chain management attaches great importance to the coordinated development of social economy and ecological environment, and requires enterprises to consider environmental protection factors in product design, packaging, procurement, production, sales, logistics, waste and recycling. Suppliers are the 'source' of the entire supply chain, and the choice of green suppliers is the basis of green supply chain management, and their quality will directly affect the environmental performance of enterprises. The green supplier selection is a classical multiple attribute group decision making (MAGDM) problems. Interval-valued intuitionistic fuzzy sets (IVIFSs) are the extension of intuitionistic fuzzy sets (IFSs), and are utilized to depict the complex and changeable circumstance. To better adapt to complex environment, the purpose of this paper is to construct a new method to solve the MAGDM problems for green supplier selection. Taking the fuzzy and uncertain character of the IVIFSs and the psychological preference into consideration, the original MABAC method based on the cumulative prospect theory (CPT) is extended into IVIFSs (IVIF-CPT-MABAC) method for MAGDM issues. Meanwhile, the method to evaluate the attribute weighting vector is calculated by CRITIC method. Finally, a numerical example for green supplier selection has been given and some comparisons is used to illustrate advantages of IVIF-CPT-MABAC method and some comparison analysis and sensitivity analysis are applied to prove this new method's effectiveness and stability. © 2023 - The authors. Published by IOS Press.",CRITIC; cumulative prospect theory (CPT); green supplier selection; interval-valued intuitionistic fuzzy sets (IVIFSs); MABAC; Multiple attribute group decision making (MAGDM),Decision making; Decision theory; Environmental management; Fuzzy sets; Numerical methods; Sensitivity analysis; Supply chain management; Waste management; CRITIC; Cumulative prospect theory; Green supplier selections; Green supply chain management; Interval-valued intuitionistic fuzzy set; Interval-valued intuitionistic fuzzy sets; MABAC; Multiple attribute group decision making; Multiple-attribute group decision makings; Product design,"H. Wang; School of Economics and Management, Chongqing University of Arts and Sciences, Chongqing, 402160, China; email: wang_hongjun2008@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85166648763,10.3233/jifs-224206,S1_JIFS
