Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum,Track
Swathi P.; Kumar G.; Jeyabalan R.; Nishanthini R.,"Swathi, P. (58103309100); Kumar, G. (55430368500); Jeyabalan, R. (57216944967); Nishanthini, R. (57226884643)",58103309100; 55430368500; 57216944967; 57226884643,Perfectly antimagic total graphs,2023,Journal of Intelligent and Fuzzy Systems,44.0,1,,1517.0,1523.0,5.0,10.3233/JIFS-221279,https://www.scopus.com/pages/publications/85148112426?origin=resultslist,"Department of Mathematics, Alagappa University, Tamilnadu, Karaikudi, India; Ghs, Parayankulam, Tamilnadu, Sivaganga, India","Swathi P., Department of Mathematics, Alagappa University, Tamilnadu, Karaikudi, India; Kumar G., Ghs, Parayankulam, Tamilnadu, Sivaganga, India; Jeyabalan R., Department of Mathematics, Alagappa University, Tamilnadu, Karaikudi, India; Nishanthini R., Department of Mathematics, Alagappa University, Tamilnadu, Karaikudi, India","An one-one correspondence function λ from V(G) ∪ E(G) to the set {1, 2,..., |V(G) | + |E(G) |} is a total labeling of a finite undirected graph G without loops and multiple edges, where |V(G) |and |E(G) | are the cardinality of vertex and edge set of G respectively. A perfectly antimagic total labeling is a totally antimagic total labeling whose vertex and edge-weights that are also pairwise distint. Perfectly antimagic total (PAT) graph is a graph having such labeling. The topic of discovering perfectly antimagic total labeling of some families of graphs is discussed in this paper. We also came up with certain conclusions about dual of a perfectly antimagic total graphs. Finally, we provided that the necessary and sufficient condition for a dual of a regular and irregular PAT graph to be a PAT graph.  © 2023 - IOS Press. All rights reserved.",antimagic total labeling; total labeling; Totally antimagic total labeling,Antimagic; Antimagic total labeling; Labelings; Total graph; Total labeling; Totally antimagic total labeling; Undirected graph; Undirected graphs,"R. Jeyabalan; Department of Mathematics, Alagappa University, Karaikudi, Tamilnadu, India; email: jeyabalanr@alagappauniversity.ac.in",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85148112426,10.3233/jifs-221279,B_Comparison,B
Lakho S.; Jalbani A.H.; Memon I.A.; Soomro S.S.; Chandio A.A.,"Lakho, Shamshad (57755959500); Jalbani, Akhtar Hussain (57203174076); Memon, Imran Ali (59855186300); Soomro, Saima Siraj (58254612700); Chandio, Asghar Ali (57203222882)",57755959500; 57203174076; 59855186300; 58254612700; 57203222882,Development of an integrated blended learning model and its performance prediction on students' learning using Bayesian network,2022,Journal of Intelligent and Fuzzy Systems,43.0,2,,2015.0,2023.0,5.0,10.3233/JIFS-219301,https://www.scopus.com/pages/publications/85132374593?origin=resultslist,"Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan","Lakho S., Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan; Jalbani A.H., Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan; Memon I.A., Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan; Soomro S.S., Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan; Chandio A.A., Department of Information Technology, Quaid-e-Awam University of Engineering, Science and Technology, Sindh, Nawabshah, Pakistan","With the spread of the COVID-19 pandemic, the importance of online learning has grown up worldwide and many higher education institutions used this mode of learning to save the timings of students. Just Online learning does not fulfill all the learning requirements of undergraduate students, therefore, there is a need for the blended learning (BL) method to be adopted in higher educational institutes for the enhancement of students' learning outcomes. This research paper focuses on the development of an integrated blended learning model and the performance of the model on students' learning has been predicted using a Bayesian network (BN) classifier. The proposed model is based on the medium impact blend of the Rotation model and the Enriched Virtual Model and applied to undergraduate computing students. The Data Structures and Algorithms course is targeted for the prediction of students' performance. The findings of the proposed Integrated BL model show that when students properly attend the classroom lectures followed by their associated lab practical in the Rotation Model and follow the online learning activities in the Enriched Virtual Model properly, then their learning outcomes may be increased as predicted using BN method. The proposed model also reports an overall accuracy of 88.5% on the collected data.  © 2022 - IOS Press. All rights reserved.",Bayesian network; data structures algorithms; Integrated blended learning model; intelligent tutoring system; student performance,Bayesian networks; Computer aided instruction; Data structures; E-learning; Education computing; Learning systems; Teaching; Bayesia n networks; Blended learning; Data structure algorithm; Integrated blended learning model; Intelligent tutoring; Intelligent tutoring system; Learning models; Student learning; Student performance; Tutoring system; Students,"S. Lakho; Department of Information Technology, Quest, Nawabshah, Sindh, Pakistan; email: shamshad.lakho@quest.edu.pk",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85132374593,10.3233/jifs-219301,B_Comparison,B
Manivannan K.; Sathiamoorthy S.,"Manivannan, K. (57224211775); Sathiamoorthy, S. (56051438300)",57224211775; 56051438300,Automated Tuberculosis classification using Egret Swarm Optimization with deep learning based fusion model on chest X-ray images,2023,Journal of Intelligent and Fuzzy Systems,45.0,6,,10335.0,10347.0,4.0,10.3233/JIFS-233975,https://www.scopus.com/pages/publications/85179588304?origin=resultslist,"Arignar Anna Government Arts and Science College, Villupuram, India; Annamalai University Pg Extension Centre, Villupuram, India","Manivannan K., Arignar Anna Government Arts and Science College, Villupuram, India; Sathiamoorthy S., Annamalai University Pg Extension Centre, Villupuram, India","In the last decades, Tuberculosis (TB) can be considered a serious illness affecting people over the globe and it leads to mortality when left untreated. Chest X-Ray (CXR) is the topmost selection for the recognition of pulmonary diseases in hospitals since it can be cost-efficient and easily available in many nations. But, manual CXR image screening is a huge load for radiologists, which results in a maximum inter-observer discrepancy rate. At present, Computer-Aided Detection (CAD) is a powerful imaging equipment for detecting and screening dangerous ailments. In recent times, Deep Learning (DL) based CAD schemes have demonstrated positive outcomes in the recognition of TB diseases. This study introduces an Egret Swarm Optimization Algorithm with Deep Feature Fusion based Tuberculosis Classification (ESOA-DFFTC) technique on CXR Images. The presented ESOA-DFFTC technique utilizes feature fusion and tuning processes for the classification of TB. To accomplish this, the ESOA-DFFTC model first exploits the Gaussian Filtering (GF) approach for image denoising purposes. Next, the ESOA-DFFTC model performs a feature fusion process using three DL models namely ResNeXt-50, MobileNetv2, and Xception. To enhance the achievement of the DL models, the ESOA-based hyperparameter optimizer is implemented in the study. For TB classification, the ESOA-DFFTC methodology uses an Arithmetic Optimization Algorithm (AOA) with Weight-Dropped Long Short-Term Memory (WDLSTM) methodology. The investigational output of the ESOA-DFFTC system was examined on a benchmark medical imaging dataset. A wide comparative investigation stated the greater achievement of the ESOA-DFFTC system over other current algorithms.  © 2023 - IOS Press. All rights reserved.",chest X-Ray images; Computer-aided diagnosis; feature fusion; machine learning; Metaheuristics; Tuberculosis,Classification (of information); Computer aided instruction; Deep learning; Image classification; Image denoising; Image fusion; Learning systems; Medical imaging; Chest X-ray image; Classification models; Classification technique; Computer aided detection; Features fusions; Learning models; Machine-learning; Metaheuristic; Swarm optimization algorithms; Tuberculosis; Computer aided diagnosis,"S. Sathiamoorthy; Annamalai University Pg Extension Centre, Villupuram, India; email: ks_sathia@yahoo.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85179588304,10.3233/jifs-233975,B_Comparison,B
Suphalakshmi A.; Ahilan A.; Jeyam A.; Subramanian M.,"Suphalakshmi, A. (56786346800); Ahilan, A. (57188654703); Jeyam, A. (57791816900); Subramanian, Malliga (57578522000)",56786346800; 57188654703; 57791816900; 57578522000,Cervical cancer classification using efficient net and fuzzy extreme learning machine,2022,Journal of Intelligent and Fuzzy Systems,43.0,5,,6333.0,6342.0,8.0,10.3233/JIFS-220296,https://www.scopus.com/pages/publications/85140749326?origin=resultslist,"Department of Aids, Sri Shanmugha College of Engineering and Technology, Sankagiri, Salem, India; Department of Ece, Psn College of Engineering and Technology, Tirunelveli, India; Nuclear Power Corporation of India Limited, PO,Kudankulam, Radhapuram, India; Department of Cse, Kongu Engineering College, Perundurai, Erode, India","Suphalakshmi A., Department of Aids, Sri Shanmugha College of Engineering and Technology, Sankagiri, Salem, India; Ahilan A., Department of Ece, Psn College of Engineering and Technology, Tirunelveli, India; Jeyam A., Nuclear Power Corporation of India Limited, PO,Kudankulam, Radhapuram, India; Subramanian M., Department of Cse, Kongu Engineering College, Perundurai, Erode, India","Cervical cancer is the most common and deadly malignancy affecting women worldwide. The prediction and treatment of this malignancy are necessary in order to avoid serious complications. In recent days, deep learning has enhanced the accuracy of cervical cancer prediction in its early stages. In this study, a deep learning based EN-FELM approach is proposed to detect and classify the cervical cells. Initially, the pap smear images are pre-processed to eliminate the background distortions. The EfficientNet is a reversed bottleneck MBConv used for feature extraction. Consequently, fuzzy extreme learning machine (FELM) is used to classify the healthy, benign, low squamous intraepithelial lesions (LSIL) and high squamous intraepithelial lesions (HSIL). The proposed model acquires the best classification accuracy on Herlev and SIPaKMeD datasets range of 99.6% and 98.5% respectively. As a result, the classification using FELM produces more efficient and accurate result which is significantly high compared to the traditional classifiers. The proposed EN-FELM improves the overall accuracy of 0.2%, 0.13% and 14.6% better than Autoencoder, LSTM and KNN with CNN respectively.  © 2022 - IOS Press. All rights reserved.",Cervical cancer; classification; efficientnet; fuzzy extreme learning machine (FELM); pap smear images,Diseases; Image classification; Knowledge acquisition; Long short-term memory; Background distortions; Cancer classification; Cancer prediction; Cervical cancers; Cervical cells; Efficientnet; Features extraction; Fuzzy extreme learning machine; Learning machines; Pap smear images; Classification (of information),"A. Suphalakshmi; Department of Ece, Psn College of Engineering and Technology, Tirunelveli, 627152, India; email: krakhilapapers22@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85140749326,10.3233/jifs-220296,B_Comparison,B
Karabacak M.,"Karabacak, Mesut (57203003783)",57203003783,Correlation coefficient for Neutrosophic Z-Numbers and its applications in decision making,2023,Journal of Intelligent and Fuzzy Systems,45.0,1,,215.0,228.0,4.0,10.3233/JIFS-222625,https://www.scopus.com/pages/publications/85165383158?origin=resultslist,"Department of Mathematics, Faculty of Science, Ataturk University, Erzurum, Turkey","Karabacak M., Department of Mathematics, Faculty of Science, Ataturk University, Erzurum, Turkey","The correlation coefficient (CC) is a well-known functional information measures used to measure the interrelationship between uncertain, fuzzy sets. The use of neutrosophic sets (NS) in decision making has been increasing in recent times. Many studies have been considered to calculate the CC of NSs. These approaches assess only the strength of relationship between PNSs, and are described within the interval [0, 1]. However, the inclusion of the reliability level of the data in the process is very important for the final decision. Therefore, neutrosophic Z-Number sets (NZNS) has been defined for this purpose, which are not only provide an assessment of the data but also take into account their confidence level. In this study, we define a correlation coefficient for NZNSs (CCNZNS) by employing the notions of mean, variance and covariance, and discuss some of its properties. This new approach defines correlation in the interval [-1, 1] similar to classical statistics, and indicates whether the NZNSs are either positively or negatively correlated. Then, two decision models are developed for the NZNS universe. In order to determine the partial known attribute weights, a maximizing optimization technique is derived which is taking into account both the objective and subjective aspects of assessments. To demonstrate the effectiveness of the proposed models, the first model is applied for solving a medical diagnostic problem. Then the performance evaluation process is chosen to demonstrate the application of the second model. Finally, the superior aspects of the developed models over other existing models are presented with a comparison and discussion analysis. The study is concluded with the conclusion part. © 2023 - IOS Press. All rights reserved.",correlation coefficient; covariance; decision making; Neutrosophic Z-number set; variance,Diagnosis; Correlation coefficient; Covariance; Decisions makings; Functional information; Information measures; ITS applications; Neutrosophic sets; Neutrosophic Z-number set; Uncertain fuzzy sets; Variance; Decision making,"M. Karabacak; Department of Mathematics, Faculty of Science, Ataturk University, Erzurum, Turkey; email: mkarabacak@atauni.edu.tr",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85165383158,10.3233/jifs-222625,B_Comparison,B
Sathishkumar B.R.,"Sathishkumar, B.R. (57200677271)",57200677271,An effectual spectrum sharing and battery utilization strategy using fuzzy enabled dynamic relay polling transmission in WSN,2023,Journal of Intelligent and Fuzzy Systems,44.0,3,,4907.0,4930.0,3.0,10.3233/JIFS-223001,https://www.scopus.com/pages/publications/85161980995?origin=resultslist,"Department of Electronics and Communication Engineering, Sri Ramakrishna Engineering College, Tamilnadu, Coimbatore, India","Sathishkumar B.R., Department of Electronics and Communication Engineering, Sri Ramakrishna Engineering College, Tamilnadu, Coimbatore, India","Power dissipation at the network level to improve lifespan without degrading the bandwidth and collaboration is a fundamental impediment to effective spectral efficiency in wireless sensor networks (WSNs). This issue is made much more difficult. Wireless energy transfer (WET) for energizing remote sensor nodes gained interest. This research explores an FDD-based on-demand scenario with many relays where a transmitter is powered by direct and relayed links. A threshold is set for transmission energy channel quality to decide whether the broadcasting can be efficient (for spectrum utilization) or the packet would not arrive at its destination. The network model offers an energy-efficient scheduling strategy to decide whether to transmit information or not depending on the stored higher energy and network status. An energy-aware polling-based medium access control (MAC) mechanism, composite energy, and information first (CEDF) has also been developed to fine-tune packet delivery ratio by utilizing datagrams and energy packages to set polling prioritization. Computational simulations indicate that energy relayed and the recommended energy-efficient scheduled technique decrease the system's active power losses supporting all theoretical predictions.  © 2023 - IOS Press. All rights reserved.",data speed and power constraints; MAC; multi-relay; Polling; sensor network; spectral efficiency,Energy efficiency; Energy transfer; Medium access control; Power management (telecommunication); Sensor nodes; Data speed; Data speed and power constraint; Energy; Multi-relays; Polling; Power constraints; Sensors network; Spectral efficiencies; Spectrum sharing; Speed constraints; Spectrum efficiency,"B.R. Sathishkumar; Department of Electronics and Communication Engineering, Sri Ramakrishna Engineering College, Coimbatore, Tamilnadu, 641022, India; email: sathishkumar.b@srec.ac.in",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85161980995,10.3233/jifs-223001,B_Comparison,B
Chola Raja K.; Kannimuthu S.,"Chola Raja, K. (58498616300); Kannimuthu, S. (37114593300)",58498616300; 37114593300,Deep learning-based feature selection and prediction system for autism spectrum disorder using a hybrid meta-heuristics approach,2023,Journal of Intelligent and Fuzzy Systems,45.0,1,,797.0,807.0,14.0,10.3233/JIFS-223694,https://www.scopus.com/pages/publications/85165396269?origin=resultslist,"Department of Computer Science and Business Systems, Sri Eshwar College of Engineering, Tamilnadu, Coimbatore, India; Department of Information Technology, Karpagam College of Engineering, Tamilnadu, Coimbatore, India","Chola Raja K., Department of Computer Science and Business Systems, Sri Eshwar College of Engineering, Tamilnadu, Coimbatore, India; Kannimuthu S., Department of Information Technology, Karpagam College of Engineering, Tamilnadu, Coimbatore, India","Autism Spectrum Disorder (ASD) is a complicated neurodevelopment disorder that is becoming more common day by day around the world. The literature that uses machine learning (ML) and deep learning (DL) approaches gained interest due to their ability to increase the accuracy of diagnosing disorders and reduce the physician's workload. These artificial intelligence-based applications can learn and detect patterns automatically through the collection of data. ML approaches are used in various applications where the traditional algorithms have failed to obtain better results. The major advantage of the ML algorithm is its ability to produce consistent and better performance predictions with the help of non-linear and complex relationships among the features. In this paper, deep learning with a meta-heuristic (MH) approach is proposed to perform the feature extraction and feature selection processes. The proposed feature selection phase has two sub-phases, such as DL-based feature extraction and MH-based feature selection. The effective convolutional neural network (CNN) model is implemented to extract the core features that will learn the relevant data representation in a lower-dimensional space. The hybrid meta-heuristic algorithm called Seagull-Elephant Herding Optimization Algorithm (SEHOA) is used to select the most relevant and important features from the CNN extracted features. Autism disorder patients are identified using long-term short-term memory as a classifier. This will detect the ASD using the fMRI image dataset ABIDE (Autism Brain Imaging Data Exchange) and obtain promising results. There are five evaluation metrics such as accuracy, precision, recall, f1-score, and area under the curve (AUC) used. The validated results show that the proposed model performed better, with an accuracy of 98.6%.  © 2023 - IOS Press. All rights reserved.",Autism spectrum disorder; Convolution neural network; Deep learning; fMRI.; LSTM; Meta-Heuristic; seagull and elephant herding optimization,Brain mapping; Convolution; Data mining; Deep learning; Diagnosis; Diseases; Electronic data interchange; Feature extraction; Heuristic algorithms; Learning systems; Optimization; Autism spectrum disorders; Convolution neural network; Deep learning; Features selection; FMRI.; Hybrid metaheuristics; LSTM; Metaheuristic; Optimisations; Seagull and elephant herding optimization; Extraction,"K. Chola Raja; Department of Computer Science and Business Systems, Sri Eshwar College of Engineering, Coimbatore, Tamilnadu, 641202, India; email: kcholaraja21@outlook.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85165396269,10.3233/jifs-223694,B_Comparison,B
Tan G.,"Tan, Guxia (58102302200)",58102302200,Attribute reduction for multiset-valued data based on FRIC-model,2023,Journal of Intelligent and Fuzzy Systems,44.0,1,,75.0,90.0,2.0,10.3233/JIFS-220225,https://www.scopus.com/pages/publications/85148016419?origin=resultslist,"Department of Teaching and Research in Basic Courses, Guangdong Technology College, Guangdong, Zhaoqing, China","Tan G., Department of Teaching and Research in Basic Courses, Guangdong Technology College, Guangdong, Zhaoqing, China","A heart attack is a common cause of death globally. It can be treated successfully through a simple and accurate diagnosis. Getting the right diagnosis at the right time is very important for the treatment of heart failure. Currently, the conventional method of diagnosing heart disease is not reliable. Machine learning is a type of artificial intelligence that can be used to analyze the data collected by sensors. Data mining is another type of technology that can be utilized in the healthcare industry. These techniques help predict heart disease based on various factors. We developed a prediction and recommendation model aimed at predicting heart disease using the Optimized Deep Belief Network. It does so by taking into account the various features of the heart disease UCI and Stalog database. Finally, the proposed method classifies healthy people and people with heart illness with an accuracy of 97.91%.  © 2023 - IOS Press. All rights reserved.",A-reduction; Evaluation function; FR-set; FRIC-model; MSVDIS; MV-data,Artificial heart; Artificial intelligence; Cardiology; Data mining; Diseases; Forecasting; Heart; % reductions; A-reduction; Attribute reduction; Evaluation function; FR-set; FRIC-model; Heart disease; MSVDIS; Multi-sets; MV-data; Diagnosis,"G. Tan; Department of Teaching and Research in Basic Courses, Guangdong Technology College, Zhaoqing, Guangdong, 526020, China; email: guxiatan100@126.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85148016419,10.3233/jifs-220225,B_Comparison,B
Wei Y.; Jiang N.; Zhang Z.; Zeng M.; Yang Z.,"Wei, Yuanyuan (57409895800); Jiang, Nan (57014204100); Zhang, Zheng (57217870935); Zeng, Mengxiong (57217867928); Yang, Zhenkai (57201258533)",57409895800; 57014204100; 57217870935; 57217867928; 57201258533,Research on combat simulation agent modelling methods combined with reinforcement learning,2023,Journal of Intelligent and Fuzzy Systems,44.0,2,,1625.0,1636.0,2.0,10.3233/JIFS-213222,https://www.scopus.com/pages/publications/85148100265?origin=resultslist,"Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China; School of Geography and Tourism, Zhengzhou Normal University, Zhengzhou, Henan, China","Wei Y., Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China, School of Geography and Tourism, Zhengzhou Normal University, Zhengzhou, Henan, China; Jiang N., Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China; Zhang Z., Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China; Zeng M., Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China; Yang Z., Institute of Geospatial Information, Information Engineering University, Zhengzhou, Henan, China","Agent-based combat simulation is an important research method in the field of military science and system simulation. Behaviour decision model plays the key role in the design of combat simulation agents. The behaviour tree (BT) designed by nonplayer characters (NPCs) in the game provides an efficient and concise method for the construction of combat simulation agents and has been widely used. Because the rationality of BT construction directly affects the rationality of agent decision logic, designing a reasonable BT has become a crucial step. The design of the operational agent BT not only relies on rich tactical experience but also needs to repeatedly adjust and optimize the BT according to the operational deduction and simulation results. To avoid unreasonable BT design caused by lack of experience and eliminate the process of repeated debugging, a modelling method of a combat simulation agent that combines reinforcement learning and the BT method was proposed. This method not only makes the design process of BT more automatic but also simplifies the experience requirements of the combat simulation agent designers. Experiments show that RL-BT effectively integrates the reinforcement learning method and can endow combat simulation agents with battlefield learning ability while making independent decisions. The agent based on RL-BT for decision modelling can continuously adjust and optimize the decision process through experience accumulation, and its performance in combat simulation is significantly better than that of the agent using the original BT.  © 2023 - IOS Press. All rights reserved.",agent modelling; Behaviour tree; combat simulation; Q-learning; reinforcement learning,Behavioral research; Learning systems; Software agents; Agent based; Agent modeling; Behaviour Trees; Combat simulation; Decision modeling; Military science; Model method; Q-learning; Reinforcement learnings; Research method; Reinforcement learning,"N. Jiang; Institute of Geospatial Information, Information Engineering University. Henan, Zhengzhou, 450001, China; email: 13653802609@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85148100265,10.3233/jifs-213222,B_Comparison,B
Anisha C.D.; Arulanand N.,"Anisha, C.D. (57205493137); Arulanand, N. (57203763994)",57205493137; 57203763994,Early diagnosis of Parkinson disorder based on spiral drawing image modalities using hybrid transfer learning architecture,2024,Journal of Intelligent and Fuzzy Systems,46.0,1,,769.0,787.0,5.0,10.3233/JIFS-231202,https://www.scopus.com/pages/publications/85182526314?origin=resultslist,"Department of Computer Science and Engineering, PSG College of Technology, Peelamedu, Coimbatore, India","Anisha C.D., Department of Computer Science and Engineering, PSG College of Technology, Peelamedu, Coimbatore, India; Arulanand N., Department of Computer Science and Engineering, PSG College of Technology, Peelamedu, Coimbatore, India","The Spiral Drawing Test (SDT) has become a prominent clinical marker for the early diagnosis of Parkinson's Disorder (PD) by capturing tremor symptoms. The integration of AI algorithms into a PD diagnosis system has proven to be a breakthrough objective assessment that aids professionals in decision-making. However, there is a need for improvisation of the workflow architectures of AI models to optimize the diagnosis system by reducing the misdiagnosis rate. The proposed system presents PD prediction using a Spiral Drawing Test (SDT) image modality integrated with an Artificial Intelligence (AI) algorithm. The proposed study presents three hybrid workflow architectures formed by integrating three core layers: a data augmentation layer, Transfer Layer (TL)-based feature extraction layer, and Deep Learning (DL)-based classification layer. The results were analyzed by conducting 18 experiments based on the hyperparameter values and workflow architectures. The highest accuracy obtained by the proposed study is 98% for Hybrid Workflow Architecture II. © 2024 - IOS Press. All rights reserved.",Parkinson disorder; transfer learning,Deep learning; Diagnosis; Artificial intelligence algorithms; Decisions makings; Diagnose system; Early diagnosis; Image modality; Learning architectures; Objective assessment; Parkinson disorder; Transfer learning; Work-flows; Decision making,"C.D. Anisha; Department of Computer Science and Engineering, PSG College of Technology, Coimbatore, Peelamedu, India; email: ani.c.dass@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85182526314,10.3233/jifs-231202,B_Comparison,B
Demirtaş N.; Dalkılıç O.; Riaz M.; Al-Quran A.,"Demirtaş, Naime (57219497257); Dalkılıç, Orhan (57221419890); Riaz, Muhammad (57611620500); Al-Quran, Ashraf (57189488718)",57219497257; 57221419890; 57611620500; 57189488718,Mathematical analysis of parameters belonging to the universe in the soft set theory with new distance measures,2024,Journal of Intelligent and Fuzzy Systems,46.0,2,,3975.0,3985.0,4.0,10.3233/JIFS-234481,https://www.scopus.com/pages/publications/85185537876?origin=resultslist,"Department of Mathematics, Mersin University, Mersin, Turkey; Department of Mathematics, University of the Punjab, Lahore, Pakistan; Basic Sciences Department, Preparatory Year Deanship, King Faisal University, Al-Ahsa, Saudi Arabia","Demirtaş N., Department of Mathematics, Mersin University, Mersin, Turkey; Dalkılıç O., Department of Mathematics, Mersin University, Mersin, Turkey; Riaz M., Department of Mathematics, University of the Punjab, Lahore, Pakistan; Al-Quran A., Basic Sciences Department, Preparatory Year Deanship, King Faisal University, Al-Ahsa, Saudi Arabia","Introduction: The soft set theory has drawn the attention of many researchers, particularly for dealing with uncertainty in decision-making problems. Despite its remarkable advantages, the soft set theory has only been used to tackle decision-making problems that aim to choose the best option. However, there exist different forms of decision-making problems that involve different forms of uncertainty. Methods: In this study, we present various algorithms based on the soft set theory in order to handle the cases where one has different uncertainty forms in decision-making problems. Some new concepts such as object code, personal object code, parameter significance weight and new distance measures have been introduced to the literature for the construction of these algorithms. Furthermore, we show the application results of those algorithms and provide several examples. Results and Conclusions: As a result, a comparison among the application results of the algorithms implies that the best objects might not always yield the most efficient outcomes. © 2024 – IOS Press. All rights reserved.",algorithm; D-metric space; decision making; parametric distance; Soft set,Codes (symbols); Decision theory; Parameter estimation; Set theory; D-metric space; Decision-making problem; Decisions makings; Distance measure; Metric spaces; Object code; Parametric distance; Soft set theories; Soft sets; Uncertainty; Decision making,"A. Al-Quran; Basic Sciences Department, Preparatory Year Deanship, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; email: aalquran@kfu.edu.sa",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85185537876,10.3233/jifs-234481,B_Comparison,B
Ran L.; Hong C.; Zhang X.; Tang C.; Xie Y.,"Ran, Lang (58759877600); Hong, Chaoqun (55457850200); Zhang, Xuebai (57189662667); Tang, Chaohui (56124984300); Xie, Yuhong (58759699000)",58759877600; 55457850200; 57189662667; 56124984300; 58759699000,MfvPose: A multi-scale hybrid framework for human pose estimation,2023,Journal of Intelligent and Fuzzy Systems,45.0,6,,10769.0,10778.0,3.0,10.3233/JIFS-233375,https://www.scopus.com/pages/publications/85179585261?origin=resultslist,"School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China","Ran L., School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; Hong C., School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; Zhang X., School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; Tang C., School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China; Xie Y., School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, China","Human pose estimation is a challenging visual task that relies on spatial location information. To improve the performance of human pose estimation, it is important to accurately determine the constraint relationship among keypoints. To address this, we propose MfvPose, a novel hybrid model that leverages rich multi-scale information. The proposed model incorporates the HRFOV module, which uses cascaded atrous convolution to maintain high-resolution representations of the backbone extractor and enrich the multi-scale information. In addition, we introduce learnable scalar weights to the Transformer encoder. In detail, it involves a multiplication by a diagonal matrix with learnable scalar weights on output of each residual block, which improves the dynamics of model training and enhances the accuracy of human pose estimation. It is experimentally shown that our proposed MfvPose achieves promising results on various benchmarks.  © 2023 - IOS Press. All rights reserved.",atrous convolution; human pose estimation; multi-head self-attention; Receptive field,Artificial intelligence; Atrous convolution; Human pose estimations; Hybrid framework; Multi-head self-attention; Multi-scales; Multiscale information; Receptive fields; Scalar weights; Spatial location; Visual tasks; Convolution,"C. Hong; School of Computer and Information Engineering, Xiamen University of Technology, Xiamen, 361024, China; email: cqhong@t.xmut.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Article,Final,,Scopus,2-s2.0-85179585261,10.3233/jifs-233375,B_Comparison,B
